numberr,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Info,messages
1,1.631805505,10.0.2.15,3.65.137.17,MQTT,79,34039,1883,Connect Command,
2,1.633054189,10.0.2.15,3.65.137.17,MQTT,85,47723,1883,Connect Command,
3,1.656703356,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Connect Ack,
4,1.666550621,10.0.2.15,91.121.93.94,MQTT,80,43133,1883,Connect Command,
5,1.673414543,3.65.137.17,10.0.2.15,MQTT,67,1883,47723,Connect Ack,
6,1.717782327,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Connect Ack,
7,2.634685221,10.0.2.15,3.65.137.17,MQTT,91,34039,1883,Subscribe Request (id=1) [metaverse/building3/section2],
8,2.635737036,10.0.2.15,3.65.137.17,MQTT,82,47723,1883,Subscribe Request (id=1) [university/+/area0],
9,2.656128517,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=1),
10,2.664970959,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=1),
11,2.668365455,10.0.2.15,91.121.93.94,MQTT,87,43133,1883,Subscribe Request (id=1) [house/department1/floor6],
12,2.698263926,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=1),
13,3.63615299,10.0.2.15,3.65.137.17,MQTT,82,34039,1883,Subscribe Request (id=2) [house/department1/#],
14,3.636713669,10.0.2.15,52.29.173.150,MQTT,78,60609,1883,Connect Command,
15,3.637175247,10.0.2.15,3.65.137.17,MQTT,98,47723,1883,Subscribe Request (id=2) [factory/department1/floor6/deposit],
16,3.669652861,10.0.2.15,91.121.93.94,MQTT,103,43133,1883,Subscribe Request (id=2) [metaverse/department1/floor6/temperature],
17,3.695824705,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=2),
18,3.822423365,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=2),
19,3.842255992,52.29.173.150,10.0.2.15,MQTT,67,1883,60609,Connect Ack,
20,3.842823613,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=2),
21,4.639722729,10.0.2.15,3.65.137.17,MQTT,73,34039,1883,Subscribe Request (id=3) [hospital/+],
22,4.641707085,10.0.2.15,3.65.137.17,MQTT,81,47723,1883,Subscribe Request (id=3) [metaverse/room2/#],
23,4.642213323,10.0.2.15,52.29.173.150,MQTT,91,60609,1883,Subscribe Request (id=1) [metaverse/building3/+/light],
24,4.65905107,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=3),
25,4.661163371,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=1),
